name	fre	time	subg	fs	MIML	ratio	hn	HammingLoss	RankingLoss	OneError	Coverage	Average_Precision	tr_time	te_time
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.200000	100	0.092695	0.139960	0.406091	5.903553	0.662201	2.770000	0.610000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.200000	150	0.092915	0.130369	0.411168	5.502538	0.664020	2.960000	0.660000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.200000	200	0.094240	0.140328	0.411168	5.903553	0.650578	3.120000	0.660000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.400000	100	0.092915	0.134945	0.395939	5.766497	0.675679	2.780000	1.200000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.400000	150	0.088501	0.138299	0.390863	5.883249	0.671652	2.890000	1.190000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.400000	200	0.090708	0.133590	0.390863	5.736041	0.673291	3.170000	1.140000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.600000	100	0.092915	0.131642	0.401015	5.675127	0.673393	2.910000	1.670000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.600000	150	0.088722	0.126558	0.395939	5.461929	0.679470	2.840000	1.620000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.600000	200	0.087177	0.130738	0.385787	5.634518	0.682112	3.100000	1.740000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.800000	100	0.094240	0.133736	0.390863	5.700508	0.669551	2.740000	2.210000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.800000	150	0.093357	0.136055	0.401015	5.817259	0.667704	3.260000	2.240000
MSRC_GT_6x9x15_omgr_CSM	100	41682ms	400	29	ELM	0.800000	200	0.089164	0.133113	0.395939	5.725888	0.676647	3.290000	2.300000
MSRC_GT_6x9x15_omgr_CSM	100	43125ms	600	36	ELM	0.200000	100	0.064004	0.072921	0.197970	3.888325	0.805236	2.700000	0.630000
