name	fre	time	subg	fs	MIML	ratio	hn	cost	HammingLoss	RankingLoss	OneError	Coverage	Average_Precision	tr_time	te_time
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.200000	100	NULL	0.015408	0.197103	0.743487	113.354709	0.224146	835.080000	38.830000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.200000	150	NULL	0.015500	0.215840	0.755511	120.549098	0.219783	829.340000	39.520000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.200000	200	NULL	0.015608	0.204657	0.769539	118.088176	0.224720	844.420000	40.340000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.400000	100	NULL	0.015654	0.199759	0.775551	114.316633	0.219719	822.210000	74.880000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.400000	150	NULL	0.015624	0.205373	0.771543	118.879760	0.218604	840.860000	77.140000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.400000	200	NULL	0.015531	0.202235	0.759519	117.901804	0.225045	857.910000	77.820000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.600000	100	NULL	0.015377	0.200450	0.739479	115.875752	0.223379	830.520000	111.890000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.600000	150	NULL	0.015531	0.203470	0.759519	116.669339	0.218141	849.510000	114.510000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.600000	200	NULL	0.015469	0.205424	0.751503	119.306613	0.225752	867.980000	114.690000
corel5k_6x8x12_omgr_CSM	50	8520ms	600	387	ELM	0.800000	100	NULL	0.015485	0.199719	0.753507	115.513026	0.222766	842.220000	148.210000
